"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-27","0.1",",,E",,,"19.4",",,E","9.5",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-28","0.0",",,E",,,"21.2",",,E","6.5",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-29","0.0",",,E",,,"22.0",",,E","4.8",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-30","0.0",",,E",,,"22.5",",,E","5.8",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-03-31","0.0",",,E",,,"20.9",",,E","5.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-01","0.0",",,E",,,"22.3",",,E","3.5",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-02","0.0",",,E",,,"21.5",",,E","7.7",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-03","0.0",",,E",,,"26.4",",,E","8.7",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-04","0.0",",,E",,,"19.5",",,E","7.8",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-05","0.0",",,E",,,"24.0",",,E","6.6",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-06","0.0",",,E",,,"18.0",",,E","6.5",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-07","1.4",",,E",,,"13.5",",,E","5.2",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-08","0.0",",,E",,,"18.2",",,E","4.8",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-09","0.3",",,E",,,"14.3",",,E","4.3",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-10","0.0",",,E",,,"13.1",",,E","8.3",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-11","4.3",",,E",,,"18.8",",,E","8.8",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-12","3.5",",,E",,,"18.8",",,E","6.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-13","0.0",",,E",,,"16.1",",,E","4.8",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-14","0.0",",,E",,,"18.2",",,E","8.4",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-15","0.0",",,E",,,"18.6",",,E","7.0",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-16","6.4",",,E",,,"15.9",",,E","5.6",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-17","0.1",",,E",,,"16.0",",,E","3.3",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-18","0.0",",,E",,,"17.6",",,E","3.5",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-19","0.0",",,E",,,"18.6",",,E","5.6",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-20","0.0",",,E",,,"18.2",",,E","8.0",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-21","2.6",",,E",,,"13.8",",,E","8.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-22","0.0",",,E",,,"17.8",",,E","6.6",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-23","0.0",",,E",,,"20.6",",,E","5.0",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-24","0.0",",,E",,,"21.1",",,E","5.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-25","0.0",",,E",,,"21.3",",,E","8.7",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-26","6.6",",,E",,,"18.8",",,E","10.5",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-27","0.0",",,E",,,"18.6",",,E","9.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-28","3.7",",,E",,,"19.4",",,E","11.3",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-29","1.7",",,E",,,"20.8",",,E","13.0",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-04-30","0.9",",,E",,,"21.3",",,E","12.6",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-01","27.6",",,E",,,"20.6",",,E","10.9",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-02","0.0",",,E",,,"16.2",",,E","7.5",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-03","0.0",",,E",,,"20.2",",,E","5.7",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-04","0.0",",,E",,,"23.0",",,E","6.5",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-05","0.0",",,E",,,"26.7",",,E","9.8",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-06","0.0",",,E",,,"27.6",",,E","12.0",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-07","0.0",",,E",,,"24.3",",,E","11.9",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-08","0.0",",,E",,,"27.4",",,E","11.5",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-09","0.1",",,E",,,"23.7",",,E","11.0",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-10","0.3",",,E",,,"22.4",",,E","13.8",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-11","0.2",",,E",,,"23.1",",,E","9.6",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-12","0.0",",,E",,,"24.8",",,E","7.4",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-13","0.4",",,E",,,"26.1",",,E","11.3",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-14","0.0",",,E",,,"25.0",",,E","11.7",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-15","0.0",",,E",,,"28.4",",,E","9.9",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-16","0.0",",,E",,,"30.8",",,E","14.2",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-17","0.0",",,E",,,"24.7",",,E","13.5",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-18","0.0",",,E",,,"23.6",",,E","13.0",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-19","0.0",",,E",,,"22.9",",,E","14.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-20","0.0",",,E",,,"24.9",",,E","14.2",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-21","0.0",",,E",,,"25.0",",,E","11.7",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-22","0.0",",,E",,,"21.6",",,E","12.1",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-23","0.0",",,E",,,"20.4",",,E","11.4",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-24","0.0",",,E",,,"28.3",",,E","13.2",",,E"
"SPE00156063","CASTELLBISBAL, SP","41.4789","1.9756","147.0","2021-05-25","0.0",",,E",,,"20.8",",,E","13.8",",,E"
